City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
371,Koping,SE,59.514,15.9926,46.85,92,100,4.29,overcast clouds,2021-10-30 22:52:52
372,Sinop,TR,41.7711,34.8709,47.19,76,0,8.95,clear sky,2021-10-30 22:52:52
373,Purpe,RU,64.4803,76.6897,10.06,93,100,17.38,overcast clouds,2021-10-30 22:52:53
374,Royan,FR,45.6285,-1.0281,58.98,88,52,11.1,broken clouds,2021-10-30 22:52:53
375,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,44.47,93,41,3.44,scattered clouds,2021-10-30 22:52:54
376,Grosseto,IT,42.8333,11.25,65.79,87,0,4.61,clear sky,2021-10-30 22:52:54
377,Kargasok,RU,59.0556,80.8572,23.2,90,100,6.46,overcast clouds,2021-10-30 22:52:55
378,Belogorsk,RU,50.9158,128.4611,24.53,48,0,5.59,clear sky,2021-10-30 22:52:55
379,Bubaque,GW,11.2833,-15.8333,79.21,79,100,5.48,light rain,2021-10-30 22:52:56
380,Lebedinyy,RU,58.5167,125.5167,15.4,80,98,10.29,overcast clouds,2021-10-30 22:52:57
381,Porbandar,IN,21.6422,69.6093,76.62,37,12,7.4,few clouds,2021-10-30 22:52:57
382,Mugur-Aksy,RU,50.35,90.5,14.54,89,99,5.86,overcast clouds,2021-10-30 22:52:58
383,Khasan,RU,42.4308,130.6434,49.26,69,37,5.26,scattered clouds,2021-10-30 22:52:59
384,Lapi,PH,17.716,121.8978,73.67,87,15,2.28,few clouds,2021-10-30 22:52:59
385,Gladstone,AU,-23.85,151.25,85.78,61,75,6.91,broken clouds,2021-10-30 22:53:00
386,Conakry,GN,9.538,-13.6773,77.36,94,20,0.0,few clouds,2021-10-30 22:53:00
387,Birnin Kebbi,NG,12.4539,4.1975,80.24,23,41,1.66,scattered clouds,2021-10-30 22:53:01
388,Nizwa,OM,22.9333,57.5333,75.15,30,1,4.16,clear sky,2021-10-30 22:53:02
389,Guayaramerin,BO,-10.8368,-65.3614,83.68,56,64,3.31,broken clouds,2021-10-30 22:53:03
390,Changji,CN,44.0167,87.3167,45.39,65,0,6.71,clear sky,2021-10-30 22:53:03
391,Ipoh,MY,4.5841,101.0829,75.11,94,20,0.0,few clouds,2021-10-30 22:53:04
392,Kloulklubed,PW,7.0419,134.2556,81.1,76,100,15.61,overcast clouds,2021-10-30 22:53:04
393,Rabaul,PG,-4.1967,152.1721,84.58,68,54,8.28,light rain,2021-10-30 22:53:05
394,San,ML,13.3034,-4.8956,85.5,44,66,8.52,broken clouds,2021-10-30 22:48:16
395,Pandan,PH,14.0453,124.1694,79.97,76,100,12.44,overcast clouds,2021-10-30 22:53:05
396,Yarim,YE,14.298,44.3779,53.76,75,80,6.8,broken clouds,2021-10-30 22:53:06
397,Ligatne,LV,57.2343,25.0406,47.25,87,54,4.0,broken clouds,2021-10-30 22:53:07
398,Maniitsoq,GL,65.4167,-52.9,35.37,98,100,24.09,moderate rain,2021-10-30 22:53:07
399,Sabla,NG,12.7525,4.7077,83.26,14,56,9.22,broken clouds,2021-10-30 22:53:07
400,Cross Lanes,US,38.4204,-81.7907,56.55,95,90,0.0,mist,2021-10-30 22:50:12
401,Angoche,MZ,-16.2325,39.9086,73.29,78,2,8.32,clear sky,2021-10-30 22:53:09
402,Severo-Yeniseyskiy,RU,60.3725,93.0408,14.63,85,100,13.02,overcast clouds,2021-10-30 22:53:09
403,Miandrivazo,MG,-19.5167,45.4667,73.29,73,25,2.64,scattered clouds,2021-10-30 22:53:10
404,Evensk,RU,61.95,159.2333,11.05,74,94,11.03,overcast clouds,2021-10-30 22:53:10
405,Puerto Madryn,AR,-42.7692,-65.0385,49.53,63,33,24.16,scattered clouds,2021-10-30 22:48:12
406,Moree,AU,-29.4667,149.85,64.42,45,0,8.05,clear sky,2021-10-30 22:53:11
407,Gamba,GA,-2.65,10.0,76.89,91,100,6.35,overcast clouds,2021-10-30 22:53:12
408,Spornoye,RU,50.8448,37.2913,39.22,82,0,4.36,clear sky,2021-10-30 22:53:12
409,Touros,BR,-5.1989,-35.4608,79.7,78,53,15.55,broken clouds,2021-10-30 22:53:13
410,Riyadh,SA,24.6877,46.7219,73.54,41,17,5.82,few clouds,2021-10-30 22:52:43
411,Vrangel,RU,42.7297,133.0839,52.52,85,90,4.27,overcast clouds,2021-10-30 22:53:14
412,Pevek,RU,69.7008,170.3133,-2.78,96,100,10.63,overcast clouds,2021-10-30 22:53:06
413,Malanje,AO,-9.5402,16.341,63.19,98,100,7.29,heavy intensity rain,2021-10-30 22:53:15
414,Tongliao,CN,43.6125,122.2653,36.41,64,80,13.0,broken clouds,2021-10-30 22:53:16
415,Botad,IN,22.1667,71.6667,71.96,37,9,7.92,clear sky,2021-10-30 22:53:16
416,Kimry,RU,56.8667,37.35,45.41,86,17,8.81,few clouds,2021-10-30 22:53:17
417,Dali,CN,25.7,100.1833,52.81,90,31,2.86,scattered clouds,2021-10-30 22:53:17
418,Dothan,US,31.2232,-85.3905,60.17,77,90,1.99,overcast clouds,2021-10-30 22:53:18
419,Matagami,CA,49.7502,-77.6328,44.71,61,40,2.3,scattered clouds,2021-10-30 22:53:18
420,Penzance,GB,50.1186,-5.5371,54.61,81,100,30.36,overcast clouds,2021-10-30 22:53:19
421,Coihaique,CL,-45.5752,-72.0662,58.95,23,0,12.66,clear sky,2021-10-30 22:53:19
422,Tazovskiy,RU,67.4667,78.7,8.01,93,100,14.94,light snow,2021-10-30 22:53:20
423,Prince Rupert,CA,54.3161,-130.3201,46.09,68,91,3.44,overcast clouds,2021-10-30 22:53:20
424,Whyalla,AU,-33.0333,137.5833,60.69,55,4,4.61,clear sky,2021-10-30 22:53:21
425,Anshun,CN,26.25,105.9333,53.53,96,100,4.36,overcast clouds,2021-10-30 22:53:21
426,Codrington,AU,-38.2667,141.9667,55.06,73,2,7.11,clear sky,2021-10-30 22:53:22
427,Ibra,OM,22.6906,58.5334,74.53,30,1,5.88,clear sky,2021-10-30 22:53:22
428,Tuatapere,NZ,-46.1333,167.6833,47.97,94,100,17.67,overcast clouds,2021-10-30 22:50:09
